playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
aardsda01,2004,1,SFN,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aardsda01,2006,1,CHN,NL,45,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aardsda01,2007,1,CHA,AL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aardsda01,2008,1,BOS,AL,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aardsda01,2009,1,SEA,AL,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aardsda01,2010,1,SEA,AL,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aardsda01,2012,1,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aardsda01,2013,1,NYN,NL,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aardsda01,2015,1,ATL,NL,33,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aaronha01,1954,1,ML1,NL,122,468,58,131,27,6,13,69,2,2,28,39,,3,6,4,13
aaronha01,1955,1,ML1,NL,153,602,105,189,37,9,27,106,3,1,49,61,5,3,7,4,20
aaronha01,1956,1,ML1,NL,153,609,106,200,34,14,26,92,2,4,37,54,6,2,5,7,21
aaronha01,1957,1,ML1,NL,151,615,118,198,27,6,44,132,1,1,57,58,15,0,0,3,13
aaronha01,1958,1,ML1,NL,153,601,109,196,34,4,30,95,4,1,59,49,16,1,0,3,21
aaronha01,1959,1,ML1,NL,154,629,116,223,46,7,39,123,8,0,51,54,17,4,0,9,19
aaronha01,1960,1,ML1,NL,153,590,102,172,20,11,40,126,16,7,60,63,13,2,0,12,8
aaronha01,1961,1,ML1,NL,155,603,115,197,39,10,34,120,21,9,56,64,20,2,1,9,16
aaronha01,1962,1,ML1,NL,156,592,127,191,28,6,45,128,15,7,66,73,14,3,0,6,14
aaronha01,1963,1,ML1,NL,161,631,121,201,29,4,44,130,31,5,78,94,18,0,0,5,11
aaronha01,1964,1,ML1,NL,145,570,103,187,30,2,24,95,22,4,62,46,9,0,0,2,22
aaronha01,1965,1,ML1,NL,150,570,109,181,40,1,32,89,24,4,60,81,10,1,0,8,15
aaronha01,1966,1,ATL,NL,158,603,117,168,23,1,44,127,21,3,76,96,15,1,0,8,14
aaronha01,1967,1,ATL,NL,155,600,113,184,37,3,39,109,17,6,63,97,19,0,0,6,11
aaronha01,1968,1,ATL,NL,160,606,84,174,33,4,29,86,28,5,64,62,23,1,0,5,21
aaronha01,1969,1,ATL,NL,147,547,100,164,30,3,44,97,9,10,87,47,19,2,0,3,14
aaronha01,1970,1,ATL,NL,150,516,103,154,26,1,38,118,9,0,74,63,15,2,0,6,13
aaronha01,1971,1,ATL,NL,139,495,95,162,22,3,47,118,1,1,71,58,21,2,0,5,9
aaronha01,1972,1,ATL,NL,129,449,75,119,10,0,34,77,4,0,92,55,15,1,0,2,17
aaronha01,1973,1,ATL,NL,120,392,84,118,12,1,40,96,1,1,68,51,13,1,0,4,7
aaronha01,1974,1,ATL,NL,112,340,47,91,16,0,20,69,1,0,39,29,6,0,1,2,6
aaronha01,1975,1,ML4,AL,137,465,45,109,16,2,12,60,0,1,70,51,3,1,1,6,15
aaronha01,1976,1,ML4,AL,85,271,22,62,8,0,10,35,0,1,35,38,1,0,0,2,8
aaronto01,1962,1,ML1,NL,141,334,54,77,20,2,8,38,6,0,41,58,0,0,4,3,10
aaronto01,1963,1,ML1,NL,72,135,6,27,6,1,1,15,0,3,11,27,1,0,3,2,7
aaronto01,1965,1,ML1,NL,8,16,1,3,0,0,0,1,0,0,1,2,0,0,0,0,1
aaronto01,1968,1,ATL,NL,98,283,21,69,10,3,1,25,3,4,21,37,1,0,2,1,9
aaronto01,1969,1,ATL,NL,49,60,13,15,2,0,1,5,0,1,6,6,0,0,0,0,1
aaronto01,1970,1,ATL,NL,44,63,3,13,2,0,2,7,0,0,3,10,0,0,0,0,5
aaronto01,1971,1,ATL,NL,25,53,4,12,2,0,0,3,0,0,3,5,1,0,0,0,3
aasedo01,1977,1,BOS,AL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1978,1,CAL,AL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1979,1,CAL,AL,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1980,1,CAL,AL,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1981,1,CAL,AL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1982,1,CAL,AL,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1984,1,CAL,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1985,1,BAL,AL,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1986,1,BAL,AL,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1987,1,BAL,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1988,1,BAL,AL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aasedo01,1989,1,NYN,NL,49,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
aasedo01,1990,1,LAN,NL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadan01,2001,1,OAK,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadan01,2003,1,BOS,AL,9,17,1,2,0,0,0,0,0,1,2,5,0,0,0,0,1
abadan01,2006,1,CIN,NL,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
abadfe01,2010,1,HOU,NL,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abadfe01,2011,1,HOU,NL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadfe01,2012,1,HOU,NL,37,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1
abadfe01,2013,1,WAS,NL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadfe01,2014,1,OAK,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadfe01,2015,1,OAK,AL,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadfe01,2016,1,MIN,AL,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abadfe01,2016,2,BOS,AL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abadijo01,1875,1,PH3,NA,11,45,3,10,0,0,0,4,1,0,0,3,,,,,
abadijo01,1875,2,BR2,NA,1,4,1,1,0,0,0,1,0,0,0,0,,,,,
abbated01,1897,1,PHI,NL,3,10,0,3,0,0,0,0,0,0,1,0,,0,0,,
abbated01,1898,1,PHI,NL,25,92,9,21,4,0,0,14,4,0,7,0,,1,2,,
abbated01,1903,1,BSN,NL,136,489,61,111,18,5,1,46,23,0,52,0,,4,17,,
abbated01,1904,1,BSN,NL,154,579,76,148,18,10,3,54,24,0,40,0,,5,13,,
abbated01,1905,1,BSN,NL,153,610,70,170,25,12,3,41,30,0,35,0,,8,5,,
abbated01,1907,1,PIT,NL,147,496,63,130,14,7,2,82,35,0,65,0,,8,22,,
abbated01,1908,1,PIT,NL,146,500,43,125,16,7,1,61,22,0,58,0,,7,25,,
abbated01,1909,1,PIT,NL,36,87,13,20,0,0,1,16,2,0,19,0,,0,1,,
abbated01,1910,1,PIT,NL,3,3,0,0,0,0,0,0,0,0,0,0,,0,0,,
abbated01,1910,2,BSN,NL,52,178,20,44,4,2,0,10,2,0,12,16,,0,8,,
abbeybe01,1892,1,WAS,NL,27,75,5,9,1,0,0,3,2,0,9,27,,0,,,
abbeybe01,1893,1,CHN,NL,7,26,2,6,1,0,0,2,0,0,2,3,,0,,,
abbeybe01,1894,1,CHN,NL,11,39,3,5,0,0,0,4,1,0,2,7,,0,,,
abbeybe01,1895,1,CHN,NL,1,3,0,1,0,0,0,0,0,0,0,0,,0,0,,
abbeybe01,1895,2,BRO,NL,8,19,4,5,0,1,0,1,0,0,2,4,,0,0,,
abbeybe01,1896,1,BRO,NL,25,63,7,12,1,2,0,7,0,0,6,13,,0,4,,
abbeych01,1893,1,WAS,NL,31,116,11,30,1,4,0,12,9,0,12,6,,1,,,
abbeych01,1894,1,WAS,NL,129,523,95,164,26,18,7,101,31,0,58,38,,7,,,
abbeych01,1895,1,WAS,NL,132,511,102,141,14,10,8,84,28,0,43,41,,7,5,,
abbeych01,1896,1,WAS,NL,79,301,47,79,12,6,1,49,16,0,27,20,,4,10,,
abbeych01,1897,1,WAS,NL,80,300,52,78,14,8,3,34,9,0,27,0,,4,3,,
abbotda01,1890,1,TL2,AA,3,7,0,1,0,1,0,1,1,0,0,0,,0,,,
abbotfr01,1903,1,CLE,AL,77,255,25,60,11,3,1,25,8,0,7,0,,5,9,,
abbotfr01,1904,1,CLE,AL,41,130,14,22,4,2,0,12,2,0,6,0,,0,5,,
abbotfr01,1905,1,PHI,NL,42,128,9,25,6,1,0,12,4,0,6,0,,3,6,,
abbotgl01,1973,1,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1974,1,OAK,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1975,1,OAK,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1976,1,OAK,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1977,1,SEA,AL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1978,1,SEA,AL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1979,1,SEA,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1980,1,SEA,AL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotgl01,1981,1,SEA,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
